sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
MMP;MVP;SAN BERNARDO;Mompós;Bolívar;Aeródromo;9.2583;-74.4383;AEROCIVIL;AEROCIVIL;1175;14;16300;02 | 20;72;352;17/05/1968;NA;2A;Aerocivil;924;13;13468,,,
MNI;NA;YARUMITOS;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;85;85139,,,
MNO;NA;LA GLORIA;Aguazul;Casanare;Aeródromo;5.0064;-72.3561;CARMEN SEDANO;PERENCO COLOMBIA LIMITED;540;18;5000;04 | 22;630;6967;NA;41637;1A;Privado;1540;85;85010,,,
MOC;NA;MONTELIBANO;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20013,,,
MOQ;NA;MOSQUERA;Mosquera;Nariño;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;52;52473,,,
MOY;NA;MONTERREY;Monterrey;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;85;85162,,,
MPI;NA;PIRACUARA;Mitú;Vaupés;Aeródromo;-0.6703;-69.6514;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;540;10;12202;02 | 20;640;3423;NA;NA;1A;Público;863;97;97001,,,
MPU;NA;PACU;Mitú;Vaupés;Aeródromo;1.6308;-70.3639;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;540;10;1650;06 | 24;700;3423;NA;NA;1A;Público;242;97;97001,,,
MQU;MQU;JOSE CELESTINO;San Sebastián de Mariquita;Tolima;Regional;5.2126;-74.8837;AEROCIVIL;AEROCIVIL;1790;45;140/F/A/X/T;01 | 19;1531;51;24/01/1968;NA;2A;Aerocivil;1428;73;73443,,,
MRF;NA;LAGOS DEL DORADO;Miraflores;Guaviare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;95;95200,,,
MRI;NA;MURINDO;Murindó;Antioquia;Aeródromo;6.9762;-76.8125;ALCALDIA;ALCALDIA;670;10;3500;07 | 25;23;02-40750;NA;12/12/2013;1A;Público;481;5;5475,,,
MSA;NA;SAN ANTONIO;Mitú;Vaupés;Aeródromo;0.6797;-70.4375;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;340;10;1650;09 | 27;610;3423;NA;NA;1A;Público;331;97;97001,,,
MSI;NA;SANTA LUCIA;Mitú;Vaupés;Aeródromo;1.3825;-70.0067;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;415;15;3000;14 | 32;1020;3423;NA;NA;1A;Público;186;97;97001,,,
MSN;NA;SAN PABLO;Mitú;Vaupés;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;97;97001,,,
MSO;NA;SONAÑA;Mitú;Vaupés;Aeródromo;0.1308;-70.5792;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;700;15;5000;03 | 21;680;3423;NA;NA;1A;Público;657;97;97001,,,
MSR;NA;SANTA RITA;Mitú;Vaupés;Aeródromo;1.6528;-70.4097;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;400;10;1650;02 | 20;700;3423;NA;NA;1A;Público;237;97;97001,,,
MTA;NA;MUTATA;Mutatá;Antioquia;Aeródromo;7.2505;-76.4442;ALCALDIA;ALCALDIA;795;10;6000;14 | 32;397;3660;NA;NA;1A;Público;25;5;5480,,,
MTB;MTB;EL PINDO;Montelíbano;Córdoba;Regional;7.9733;-75.4413;AEROCIVIL;AEROCIVIL;1100;26;12202;18 | 36;160;3107;08/04/1981;NA;2C;Aerocivil;1863;23;23466,,,
MTC;NA;PAPUNAGUA - PUERTO. SOLANO;Mitú;Vaupés;Aeródromo;1.9073;-70.7622;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;650;15;5000;13 | 31;492;2994;NA;44000;1A;Público;676;97;97001,,,
MTI;NA;TIQUIE;Mitú;Vaupés;Aeródromo;0.2342;-70.1689;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;530;15;5000;06 | 24;630;3423;NA;NA;1A;Público;2099;97;97001,,,
MTN;NA;BUENOS AIRES;Mitú;Vaupés;Aeródromo;0.0203;-71.0074;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;400;10;1650;06 | 24;620;45;NA;NA;1A;Público;1142;97;97001,,,
MTP;NA;MATUPA;San Martín;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1565;50;50689,,,
MTR;MTR;LOS GARZONES;Montería;Córdoba;Nacional;8.8239;-75.8261;AEROCIVIL;EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte;1860;35;47/F/C/X/T;14 | 32;19;984;02/02/1987;NA;4C;Aerocivil;70624;23;23001,,,
MTS;NA;TERESITA;Mitú;Vaupés;Aeródromo;0.7381;-69.4714;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;630;20;12202;07 | 25;620;3423;NA;NA;1A;Público;670;97;97001,,,
MTT;NA;CACHIPORRO;Mitú;Vaupés;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;188;97;97001,,,
MTU;NA;MATUPA;San Martín;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1565;50;50689,,,
MUR;NA;TAPURUCUARA;Mitú;Vaupés;Aeródromo;1.4717;-70.1631;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;450;15;2700;10 | 28;880;3423;NA;NA;1A;Público;2123;97;97001,,,
MUT;NA;ATAHUALPA;Mutatá;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;5;5480,,,
MUZ;NA;MUZO;Muzo;Boyacá;Aeródromo;5.5472;-74.1128;MUNICIPIO;MUNICIPIO;800;16;6400;04 | 22;2952;Of.0610 (5000-186-376);NA;NA;1A;Público;NA;15;15480,,,
MVA;NA;VILLA GLADYS;Mitú;Vaupés;Aeródromo;0.2607;-71.3566;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;950;15;12202;12 | 30;493;45;NA;NA;1A;Público;237;97;97001,,,
MVI;NA;VILLA FATIMA;Mitú;Vaupés;Aeródromo;0.9744;-69.9569;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;510;10;1650;12 | 30;680;3423;NA;NA;1A;Público;411;97;97001,,,
MVN;NA;VILLA NUEVA;Mitú;Vaupés;Aeródromo;0.2732;-70.4491;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;375;12;1650;03 | 21;590;45;NA;NA;1A;Público;33;97;97001,,,
MVP;MVP;FABIO A. LEON BENTLEY;Mitú;Vaupés;Regional;1.2535;-70.2341;MUNICIPIO;AEROCIVIL;1880;30;31.5/F/B/X/T;02 | 20;680;34;19/02/1958;NA;3C;Aerocivil;35858;97;97001,,,
MVU;NA;LOS ANGELES;Mitú;Vaupés;Aeródromo;0.5767;-70.13;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;390;10;1650;10 | 28;640;45;NA;NA;1A;Público;256;97;97001,,,
MWA;NA;WAINAMBI;Mitú;Vaupés;Aeródromo;0.8667;-69.6172;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;360;10;1650;05 | 23;650;3423;NA;NA;1A;Público;181;97;97001,,,
MWY;NA;WASAY;Mitú;Vaupés;Aeródromo;1.6608;-70.0194;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;390;15;1650;14 | 32;700;3423;NA;NA;1A;Público;78;97;97001,,,
MYA;NA;YAPU;Mitú;Vaupés;Aeródromo;0.6217;-70.3517;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;540;20;5000;05 | 23;600;3423;NA;NA;1A;Público;2067;97;97001,,,
MYY;VAB;YAVARATE;Mitú;Vaupés;Aeródromo;0.6117;-69.2072;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;490;15;1650;17 | 35;400;3423;NA;NA;1A;Público;585;97;97001,,,
MZL;MZL;LA NUBIA;Manizales;Caldas;Nacional;5.0298;-75.4667;FODECAL;FODECAL;1000;15;15876;10 | 28;6866;623;NA;NA;2A;Público;38890;17;17001,,,
NAR;NA;PUERTO NARE;Puerto Nare;Antioquia;Aeródromo;6.2102;-74.5902;CEMENTOS ARGOS S.A.;CEMENTOS ARGOS S.A.;1000;20;9000;06 | 24;130;4504;NA;12/09/2015;2B;Privado;1298;5;5585,,,
NAT;NA;SAN GERMAN;Natagaima;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;73;73483,,,
NCC;NA;LA REFORMA;Nunchía;Casanare;Aeródromo;5.4293;-72.163;JUAN BERNARDO SERRANO A.;JUAN B. SERRANO ARDILA;700;10;2000;13 | 31;308;471;NA;09/04/2016;1A;Fumigación;1;85;85225,,,
NCI;NCI;NECOCLI;Necoclí;Antioquia;Aeródromo;8.45;-76.7833;MUNICIPIO;MUNICIPIO;833;15;5680;16 | 34;60;5917;NA;NA;1B;Público;979;5;5490,,,
NFA;NA;NUEVA FORTUNA;Necoclí;Antioquia;Aeródromo;8.6167;-76.6667;MUNICIPIO;MUNICIPIO;300;10;1300;18 | 36;550;2989;NA;NA;1A;Público;5;5;5490,,,
NIA;NA;LA NEVERA;Nunchía;Casanare;Aeródromo;5.5128;-72.1314;MAURICIO OLMOS;AGILL S.A.S.;800;10;3000;12 | 30;3100;5053;NA;07/10/2017;1A;Fumigación;1;85;85225,,,
NQU;NQU;REYES MURILLO;Nuquí;Chocó;Regional;5.712;-77.2627;AEROCIVIL;AEROCIVIL;930;10;7/F/B/Y/T;05 | 23;13;2,279;21/08/1975;NA;1A;Aerocivil;13940;27;27495,,
NUA;NA;LA CEIBA;Nunchía;Casanare;Aeródromo;5.4468;-72.0059;ISMENIA CARREÑO MARTINEZ;FUMIVILLA LTDA;900;10;3000;14 | 32;656;2497;NA;42884;1A;Fumigación;NA;85;85225,,,
NUC;NA;LA FLORA;San Luis de Palenque;Casanare;Aeródromo;5.2097;-71.8106;GERARDO ZAMBRANO GUIO;PERENCO COLOMBIA LIMITED;640;15;12202;03 | 21;539;933;NA;43218;1A;Privado;1735;85;85325,,,
NUE;NA;NUEVO MUNDO;Trinidad;Casanare;Aeródromo;5.5318;-71.8239;INPROARROZ LTDA;SAO E.U.;800;10;2000;10 | 28;574;703;NA;42811;1A;Fumigación;NA;85;85430,,,
NUH;NA;NUNCHIA LOS LIBERTADORES;Nunchía;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;85;85225,,,
NUN;NA;EL DESECHO;Nunchía;Casanare;Aeródromo;5.6194;-72.0639;MIREYA MARTIN HUERTAS;EL MISMO;950;14;2000;04 | 22;820;6057;NA;41971;1A;Fumigación;1;85;85225,,,
NUT;NA;PALMAROSA;Nunchía;Casanare;Aeródromo;5.5663;-72.0669;FLORENCIO VARGAS PATIÑO;FIBA S.A.;800;10;2000;04 | 22;744;1943;NA;09/05/2016;1A;Fumigación;NA;85;85225,,,
NUV;NA;NUEVA UNION- CA;Santa Ana;Magdalena;Aeródromo;9.6639;-73.9265;MAURICIO E. VASQUEZ M.;EL MISMO;290;10;600;17 | 35;196;173;NA;04/02/2018;UL;Privado;1;47;47707,,,
NVA;NVA;BENITO SALAS;Neiva;Huila;Internacional;2.9499;-75.2941;AEROCIVIL;AEROCIVIL;1600;40;34/F/B/X/T;02 | 20;1464;57;28/02/1958;NA;3C;Aerocivil;65289;41;41001,,,
NYY;NA;NUEVA YORK;Espinal;Tolima;Aeródromo;4.1333;-74.9;ALVARO ARAGON;FATOL LTDA.;700;10;2000;03 | 21;1000;5836;NA;05/11/2016;1A;Fumigación;NA;73;73268,,,
OBA;NA;PRAGA;Obando;Valle del Cauca;Aeródromo;4.5889;-75.9681;ANGELA MARIA LEON LEMUS;ARFA S.A.;700;10;2000;03 | 21;3041;4937;NA;43004;1A;Fumigación;17;76;76497,,,
OCE;NA;EL VIEJO CARMEN;Orocué;Casanare;Aeródromo;4.8978;-71.5681;INVERSIONES LA COLONIA S.A.;LA CEIBA S.A.;685;10;2000;05 | 23;492;1325;NA;11/06/2018;1A;Privado;7;85;85230,,,
OCU;NA;BUENAVISTA;Orocué;Casanare;Aeródromo;4.8441;-71.5079;INVERSIONES LA COLONIA LTDA;LA CEIBA S.A.;900;15;2000;08 | 26;469;1325;NA;11/06/2018;1A;Privado;13;85;85230,,,
OCV;OCV;AGUAS CLARAS;Ocaña;Norte de Santander;Regional;8.3156;-73.3583;AEROCIVIL;AEROCIVIL;1200;30;19000;01 | 19;3850;2363;03/09/1971;NA;2C;Aerocivil;2566;54;54498,,,
OOR;NA;SAN PABLO;Orocué;Casanare;Aeródromo;4.7856;-71.6231;FERNANDO ADOLFO REYES I.;FERNANDO ADOLFO REYES I.;1175;15;3000;10 | 28;472;3214;NA;03/08/2015;1A;Privado;20;85;85230,,,
OPA;NA;RIOPAILA;Zarzal;Valle del Cauca;Aeródromo;4.3174;-76.0975;RIOPAILA CASTILLA S.A.;RIOPAILA CASTILLA S.A.;800;18;5670;10 | 28;3179;6471;NA;06/12/2016;1A;Fumigación;NA;76;76895,,,
ORA;NA;GUARILAQUE;Orocué;Casanare;Aeródromo;4.892;-71.5866;FERNANDO REYES ISAZA;PERENCO COLOMBIA LIMITED;600;18;5000;05 | 23;509;7235;NA;03/01/2017;1A;Privado;1570;85;85230,,,
ORC;ORC;OROCUE;Orocué;Casanare;Aeródromo;4.7903;-71.3484;MUNICIPIO;MUNICIPIO;1480;25;22000;04 | 22;550;3559;NA;NA;1A;Público;5834;85;85230,,,
ORE;NA;EL CAIMAN;Orocué;Casanare;Aeródromo;4.855;-71.6811;INVERSIONES LOS CEDROS;INVERS. LOS CEDROS;700;16;3500;03 | 21;485;5960;NA;43086;1A;Privado;19;85;85230,,,
ORH;NA;ORIHUECA;Ciénaga;Magdalena;Aeródromo;10.8238;-74.1626;ELCIDA DIAZ GUERRERO;AEROPENORT LTDA.;720;10;3000;10 | 28;90;6068;NA;42362;1A;Fumigación;9;47;47189,,,
ORI;NA;ORITO;Orito;Putumayo;Aeródromo;0.6665;-76.8768;ECOPETROL;ECOPETROL;754;23;12/F/D/X/T;16 | 34;1168;2109;NA;NA;1B;Privado;2231;86;86320,,,
ORJ;NA;LA CULEBRA;Orocué;Casanare;Aeródromo;4.9025;-71.6347;JUAN MAURICIO MEDINA NIÑO;JUAN MAURICIO MEDINA NIÑO;450;10;2000;17 | 35;429;4938;NA;42362;1A;Privado;17;85;85230,,,
ORO;NA;GUANAPALO;Orocué;Casanare;Aeródromo;5.1741;-71.4299;TOMAS ORTEGA DIAZ;PERENCO COLOMBIA LIMITED;600;18;5000;04 | 22;524;7235;NA;03/01/2017;1A;Privado;1360;85;85230,,,
ORR;NA;EL BORAL;Orocué;Casanare;Aeródromo;4.7384;-71.512;MARIA ANTONIA PAVIA DE R.;MARIA ANTONIA PAVIA DE R.;600;15;3000;05 | 23;442;3215;NA;03/08/2015;1A;Privado;1;85;85230,,,
ORS;NA;SARDINAS;Orocué;Casanare;Aeródromo;4.9858;-71.5057;IGNACIA GUALDRON;PERENCO COLOMBIA LIMITED;600;18;5000;08 | 26;521;7235;NA;03/01/2017;1A;Privado;9320;85;85230,,,
ORU;NA;EL MEDANO;Orocué;Casanare;Aeródromo;4.7621;-71.7184;ALBERTO MENDOZA Y OTRO;EL MISMO;885;15;4950;03 | 21;485;828;27/02/2007;NA;1A;Privado;6;85;85230,,,
ORX;NA;LA CANDELARIA;Orocué;Casanare;Aeródromo;5.1076;-71.6243;ANDRES REYES DIAZ;ANDRES REYES DIAZ;580;12;2000;01 | 19;515;7087;NA;42779;1A;Privado;5;85;85230,,,
OTU;OTU;REMEDIOS OTU;Remedios;Antioquia;Regional;7.0106;-74.7156;AEROCIVIL;AEROCIVIL;950;12;16.8/F/B/X/U/;17 | 35;2058;522;03/07/1968;NA;1A;Aerocivil;8663;5;5604,,,
PAL;NA;PALACIO MUNICIPAL;Medellín;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;5001,,,
PAO;NA;PAOLA - CA;Restrepo;Meta;Aeródromo;4.1683;-73.5156;CONSTRUCCIONES GAMO LTDA;CLUB LA LIBELULA;180;10;500;09 | 27;1112;2138;NA;42875;UL;Privado;NA;50;50606,,,
PBE;PBE;MORELA;Puerto Berrío;Antioquia;Regional;6.4599;-74.4106;AEROCIVIL;AEROCIVIL;1290;24;13 F/C/X/T;18 | 36;445;522;NA;NA;2C;Aerocivil;2460;5;5579,,,
PBN;NA;NICOLAS E.SOTO;Puerto Boyacá;Boyacá;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;15;15572,,,
PBO;NA;PUERTO BOLIVAR;Uribia;La Guajira;Regional;12.2215;-71.9843;CARBONES DEL CERREJON;CARBONES DEL CERREJON;1580;45;32/F/C/X/T;09 | 27;98;831;NA;43218;3D;Privado;3507;44;44847,,,
PBR;NA;LA PONDEROSA;Paratebueno;Cundinamarca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;25;25530,,,
PCA;NA;PACOA;Pacoa;Vaupés;Aeródromo;0.0667;-71.2083;CORREGIMIENTO;CORREGIMIENTO;800;18;12202;05 | 23;720;3149;NA;NA;1A;Público;358;97;97511,,,
PCE;NA;CUMARIBO;Puerto Carreño;Vichada;Regional;4.4464;-69.7815;GOBERNACION;GOBERNACION;900;15;26000;03 | 21;547;407;NA;NA;1A;Público;10527;99;99001,,,
PCH;NA;ALPES -PACHAQ.;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50573,,,
PCJ;NA;PUERTO ALVIRA -CAÑO JABON;San Martín;Meta;Aeródromo;2.9029;-71.7496;JUNTA DE ORNATO;JUNTA DE ORNATO;1100;23;12202;02 | 20;550;5712;NA;NA;2C;Público;1124;50;50689,,,
PCO;NA;PARACO;Córdoba;Bolívar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;13;13212,,,
PCR;PCR;GERMAN OLANO;Puerto Carreño;Vichada;Regional;6.185;-67.4925;MUNICIPIO;AEROCIVIL;1800;30;27/F/C/X/T;07 | 25;1915;551;10/07/1968;NA;3C;Aerocivil;6271;99;99001,,,
PDE;NA;LA VENGANZA;Paz de Ariporo;Casanare;Aeródromo;6.0226;-70.8976;WALTER F. GOMEZ ACOSTA;EL MISMO;570;12;4000;10 | 28;410;02-35384;NA;41591;1A;Privado;70;85;85250,,,
PDR;NA;LA COLONIA;Paz de Ariporo;Casanare;Aeródromo;5.7639;-71.5314;MILCIADES LUNA CUERVO;MUNICIPIO;670;15;2000;15 | 33;620;6296;NA;08/12/2012;1A;Público;12;85;85250,,,
PEI;PEI;MATECAÑA;Pereira;Risaralda;Internacional;4.8128;-75.7393;MUNICIPIO;MUNICIPIO;2020;45;50/F/B/X/T;08 | 26;4417;522;NA;NA;4D;Público;95765;66;66001,,,
PET;NA;PETROLEA;San José de Cúcuta;Norte de Santander;Aeródromo;8.4972;-72.5967;MINISTERIO DEFENSA;MINISTERIO DEFENSA;840;15;4000;01 | 19;164;285;NA;NA;2A;Público;4;54;54001,,,
PFO;NA;PUERTO PERALES;Puerto Triunfo;Antioquia;Aeródromo;5.9936;-74.5742;GOBERNACION;GOBERNACION;900;15;7000;04 | 22;475;2989;NA;NA;2A;Público;1062;5;5591,,,
PGA;NA;PRAGA;Obando;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;76;76497,,,
PGM;NA;PUERTO GAITAN;Puerto Gaitán;Meta;Aeródromo;4.3031;-72.0855;MUNICIPIO;MUNICIPIO;1380;23;12202;04 | 22;150;1861;NA;NA;3C;Público;3103;50;50568,,,
PGN;NA;SABANETA;Puerto Gaitán;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;50;50568,,,
PGO;NA;EL RODEO;Puerto Gaitán;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;50;50568,,,
PGP;NA;LA PLATA PUERTO TRUJILLO;Puerto Gaitán;Meta;Aeródromo;3.4873;-71.3759;MUNICIPIO;MUNICIPIO;700;15;4500;17 | 35;623;15;NA;NA;1A;Público;1377;50;50568,,,
PGT;NA;MORELIA;Puerto Gaitán;Meta;Aeródromo;3.7504;-71.4561;META PETROLEUM LTD.;META PETROLEUM LTD.;1280;24;24 F/C/W/T;18 | 36;617;1738;NA;43305;2C;Privado;30856;50;50568,,,
PID;NA;PUERTO INIRIDA;Inírida;Guainía;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;347;94;94001,,,
PII;NA;SAN FELIPE;Inírida;Guainía;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82;94;94001,,,
PIM;LPE;LA PRIMAVERA;La Primavera;Vichada;Aeródromo;5.4943;-70.4212;MUNICIPIO;MUNICIPIO;1740;18;12200;04 | 22;410;1028;NA;NA;2C;Público;6784;99;99524,,,
PIP;RON;PAIPA JUAN JOSE RONDON;Paipa;Boyacá;Aeródromo;5.7644;-73.1057;AEROCIVIL;AEROCIVIL;1700;30;11400;04 | 22;8205;984;02/02/1987;NA;3C;Aerocivil;154;15;15516,,,
PIV;NA;LA PALESTINA;Pivijay;Magdalena;Aeródromo;10.5897;-74.2951;SAFUCO;SAFUCO;640;10;2000;08 | 26;82;2612;NA;12/06/2017;1A;Fumigación;NA;47;47551,,,
PJS;NA;PAJONALES;Ambalema;Tolima;Aeródromo;4.7644;-74.8287;ORGANIZACIÓN PAJONALES S.A.;ORGANIZACIÓN PAJONALES S.A.;1100;15;4000;05 | 23;850;390;NA;43183;2A;Fumigación;1;73;73030,,,
PLA;PLA;PLANADAS;Planadas;Tolima;Aeródromo;3.3;-75.7333;MUNICIPIO;EL MISMO;700;11;5670;01 | 19;3700;3660;NA;NA;1A;Público;16;73;73555,,,
PLD;NA;SAN ISIDRO;Puerto López;Meta;Aeródromo;4.1274;-73.2384;ARMANDO ROMERO PARRA;FARO LTDA.;720;10;2000;08 | 26;787;2491;NA;12/06/2017;1A;Fumigación;8;50;50573,,,
PLE;NA;BELLO HORIZONTE;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50573,,,
PLK;NA;LA ESPERANZA;Puerto Libertador;Córdoba;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;23;23580,,,
PLL;NA;PUERTO LLERAS;Puerto Lleras;Meta;Aeródromo;3.2897;-73.3792;MUNICIPIO;MUNICIPIO;940;15;12202;15 | 33;800;1148;NA;NA;2C;Público;11;50;50577,,,
PLN;NA;PALONEGRO-NORTE;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20013,,,
PLO;NA;PALMASOLA;Puerto López;Meta;Aeródromo;4.1272;-73.0766;AVIAL LTDA;AVIAL LTDA.;900;20;2000;07 | 25;820;3021;NA;42212;1A;Fumigación;3;50;50573,,,
PLP;NA;PUERTO LOPEZ;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50573,,,
PLS;NA;TOBASIA;Puerto López;Meta;Aeródromo;4.0786;-73.0794;FAGAN S. EN C.;FAGAN S. EN C.;730;18;2000;01 | 19;175;4316;NA;NA;1A;Fumigación;15;50;50573,,,
PLT;PLT;LAS FLORES;Plato;Magdalena;Aeródromo;9.7985;-74.7831;AEROCIVIL;AEROCIVIL;1067;20;3500;17 | 35;86;876;08/03/1968;NA;2A;Aerocivil;298;47;47555,,,
PMM;NA;INGENIO MANUELITA;Palmira;Valle del Cauca;Aeródromo;3.5986;-76.306;INGENIO MANUELITA S.A.;ING.MANUELITA - ASOCAÑA;250;10;500;09 | 27;3366;2960;NA;05/08/2015;1A;Fumigación;2;76;76520,,,
PMO;NA;SAN LUIS;Palermo;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;41;41524,,,
PNQ;NA;PINOQUIA;Puerto Carreño;Vichada;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;99;99001,,,
POL;NA;POLONIA;Villavieja;Huila;Aeródromo;3.2667;-75.1681;INCORA LTDA;INCORA;700;13;2000;13 | 31;1350;697;NA;NA;1A;Público;NA;41;41872,,,
PPN;PPN;GUILLERMO LEON VALENCIA;Popayán;Cauca;Nacional;2.4542;-76.6099;AEROCIVIL;AEROCIVIL;1910;40;32/F/B/X/T;07 | 25;5669;455;19/05/1969;NA;4C;Aerocivil;17602;19;19001,,,
PPT;NA;POTRERITO;Ibagué;Tolima;Aeródromo;4.3261;-75.0785;ARROCERA POTRERITO LASERNA;CRUZ VERDE;600;10;2000;15 | 33;2460;4508;NA;03/09/2015;1A;Fumigación;8;73;73001,,,
PQE;NA;PALANQUERO -GERMAN OLANO;Puerto Salgar;Cundinamarca;Aeródromo;5.4835;-74.6574;FAC;FAC.;2296;20;66R/B/W/T;01 | 19;553;MILITAR;NA;NA;4B;Militar;126;25;25572,,,
PRA;NA;LA OPIA;Piedras;Tolima;Aeródromo;4.4484;-74.9623;DANIEL GOMEZ TAMAYO;CRUZ VERDE;630;10;4000;05 | 23;1929;1839;NA;03/05/2016;1A;Fumigación;NA;73;73547,,,
PRB;NA;LA AURORA;Paratebueno;Cundinamarca;Aeródromo;4.3228;-73.2739;LILIANA CORONADO;SERV.AEREO DEL ORIENTE-SAO;800;10;2000;12 | 30;941;391;NA;43175;1A;Fumigación;1;25;25530,,,
PRC;NA;PUERTO RICO;Puerto Rico;Caquetá;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;18;18592,,,
PRE;NA;SAN JOSE DE OCUNE;Puerto Carreño;Vichada;Aeródromo;4.0822;-70.2539;CORREGIMIENTO;CORREGIMIENTO;720;20;5670;13 | 31;400;2989;NA;NA;1A;Público;1450;99;99001,,,
PRI;NA;PRIMERO DE MAYO;Paratebueno;Cundinamarca;Aeródromo;4.3347;-73.1439;SAUL E. OTALORA DAZA;COMERCIALIZADORA ECO;720;10;2000;12 | 30;709;250;NA;41686;1A;Fumigación;1;25;25530,,,
PRJ;PCC;PUERTO RICO;Puerto Rico;Caquetá;Aeródromo;1.875;-75.1556;MUNICIPIO;MUNICIPIO;948;10;12202;09 | 27;750;3660;NA;NA;2A;Público;27;18;18592,,,
PRL;NA;NATALIA;Puerto López;Meta;Aeródromo;4.0698;-73.1805;MOLINOS INDUGRANOS;AEROTEC LTDA.;800;10;2000;04 | 22;715;4945;NA;42273;1A;Fumigación;NA;50;50573,,,
